,time_ms,delta_ms,ACCx,ACCy,ACCz,GRYOx,GRYOy,GRYOz,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading,,time_ms,,
51,5.55265,111,-81.47036042,-1185.303106,-7802.772213,-16.06825843,-25.0526934,-11.05400198,-168.8292803,179.3571083,-167.1225448,183.7948334,142.6045772,145.9897443,,5552.65,,
52,5.66352,110,-83.00932975,-844.3818636,-7839.263328,-16.00612923,-25.1924841,-11.15496193,-171.8182205,179.3229209,-170.2876298,183.5157166,141.9582266,144.2214589,,5663.52,,
53,5.774516,110,-85.68221625,-625.8291181,-7868.357997,-15.71094105,-25.35561441,-11.21710681,-173.8806619,179.2895792,-172.6555023,183.2381524,141.6373403,143.2752573,,5774.516,,
54,5.885527,111,-91.00559785,-490.2974709,-7869.014798,-15.58669273,-25.68176625,-11.34135513,-175.3633628,179.1878118,-174.4953964,182.8877261,141.3351195,142.6266862,,5885.527,,
55,5.996484,110,-94.20335871,-414.9784825,-7869.645327,-14.00845908,-25.7828354,-11.33358058,-175.7029533,179.2232027,-175.0179447,182.7128669,141.2724368,142.3814558,,5996.484,,
56,6.107661,111,-94.20335871,-414.9784825,-7872.587196,-9.61636368,-25.8215664,-12.20115498,-174.7139203,179.2624481,-173.9272124,182.5564053,141.3001389,142.4082904,,6107.661,,
57,6.218216,110,-94.20335871,-414.9784825,-7872.587196,-4.55630252,-25.48785071,-12.21667664,-174.0511209,179.4271249,-173.1365446,182.5738023,141.3001389,142.4082904,,6218.216,,
58,6.329422,111,-94.20335871,-414.9784825,-7872.587196,2.25968323,-25.37153696,-12.29421914,-173.0836312,179.4060349,-171.972685,182.3799162,141.3001389,142.4082904,,6329.422,,
59,6.439978,110,-94.20335871,-414.9784825,-7872.587196,8.72515434,-25.22406523,-12.37959751,-172.8368412,179.410062,-171.7107178,182.2116524,141.3001389,142.4090562,,6439.978,,
60,6.551006,111,-92.29165317,-557.5384868,-7869.645327,13.67511306,-25.26316443,-12.48125543,-172.723286,179.3452406,-171.9824741,181.9622764,141.4466712,142.9261751,,6551.006,,
61,6.662645,111,-56.1749919,-960.1230921,-7807.775301,19.03139322,-25.41774683,-12.14890327,-170.7405189,179.4289307,-170.5327597,181.8266528,142.3156063,144.9238554,,6662.645,,
62,6.773082,110,5.495004858,-1510.073855,-7713.46518,23.58899886,-25.44875095,-12.2341646,-167.8271058,-36.2163387,-168.2464948,1.983593403,143.3864782,147.9013175,,6773.082,,
63,6.883904,110,60.49700291,-2194.444313,-7527.279108,26.96664726,-26.03751535,-12.6137627,-164.027921,-122.4457538,-165.1242144,-93.19070938,146.562974,154.301461,,6883.904,,
64,6.994599,110,69.20152695,-2887.066588,-7262.367465,29.80196142,-26.44034687,-12.40460018,-159.4692248,-156.8118681,-161.0818987,-143.1105255,147.728784,159.1305678,,6994.599,,
65,7.105307,110,69.20152695,-3527.039953,-6952.220479,32.3357013,-26.84326575,-12.29612202,-154.6342844,-170.5437367,-156.5227912,-169.1013631,149.4675386,164.8160452,,7105.307,,
66,7.216043,110,69.20152695,-4119.423972,-6631.732287,33.95489118,-27.00595947,-12.2883747,-150.0976869,-175.9238589,-152.1292589,-182.2581311,151.3323352,170.6976001,,7216.043,,
67,7.326817,110,69.20152695,-4726.854383,-6249.439372,36.42138822,-27.12230367,-12.60638218,-144.7909353,-178.0354265,-146.7672333,-188.7210662,153.1222899,176.7797223,,7326.817,,
68,7.437589,110,69.20152695,-5176.51263,-5886.463623,36.73920915,-27.19982097,-12.84668581,-140.9923512,-178.8410526,-142.937279,-191.6424389,154.9506338,181.5130949,,7437.589,,
69,7.548349,110,44.72091617,-5579.507578,-5557.478174,35.9102534,-27.39350222,-13.02487256,-137.6605236,-179.3372643,-139.5819544,-192.9138783,156.3696924,185.4059221,,7548.349,,
70,7.659046,110,32.4325497,-5870.904547,-5260.486904,35.9877539,-27.65700392,-13.32712451,-134.1499219,-179.6283608,-135.8041905,-193.2588287,157.6534372,187.868945,,7659.046,,
71,7.769791,110,15.05952982,-6124.942728,-5009.492143,35.65422182,-27.89745728,-13.32712451,-131.3608909,-179.84418,-132.7165391,-193.1243827,158.8030221,190.148965,,7769.791,,
72,7.880674,110,14.86691506,-6353.765637,-4751.695286,33.03368754,-27.990494,-13.10228577,-129.6672669,-179.8673277,-130.9741762,-192.5981869,159.9949929,192.180683,,7880.674,,
73,7.991466,110,11.44485844,-6420.481616,-4746.559345,29.29590286,-27.85866342,-12.75332247,-129.2469758,-179.8113079,-130.3839044,-191.8792552,159.9609589,192.3136635,,7991.466,,
74,8.102263,110,10.23571789,-6420.481616,-4746.559345,26.34369388,-27.99038928,-12.97803129,-128.764629,-179.9030799,-129.5853013,-191.3136314,159.9480566,192.3143383,,8102.263,,
75,8.212982,110,9.741430735,-6420.481616,-4746.559345,21.34504708,-28.14538608,-12.83853417,-129.3902655,-179.952677,-130.1204717,-190.7200353,159.9480566,192.3112157,,8212.982,,
76,8.323737,110,1.320149039,-6420.481616,-4746.559345,17.46914708,-28.44770628,-12.83853417,-129.1914213,-180.0924371,-129.7223206,-190.2390508,159.9480566,192.2580294,,8323.737,,
77,8.434527,110,-3.572225211,-6420.481616,-4746.559345,14.5798667,-28.36249962,-12.77656569,-128.7172358,35.97123607,-128.9381227,-9.569251228,159.8247,192.1477014,,8434.527,,
78,8.545181,110,-3.572225211,-6213.48897,-4974.335607,11.39678267,-28.20760502,-12.12600837,-129.9679677,122.4257652,-129.7250708,86.21279853,158.7027071,190.6224695,,8545.181,,
79,8.655863,110,-3.572225211,-5940.893382,-5242.201364,7.48553603,-28.64994839,-12.16481042,-132.4066556,156.7699431,-131.8236543,136.5193904,157.305152,188.0850049,,8655.863,,
80,8.767063,111,-5.922847808,-5584.936029,-5583.320819,4.46651191,-29.13236977,-12.21927735,-135.1653007,170.4785412,-134.197821,162.9035888,155.8367719,185.0205593,,8767.063,,
81,8.878196,111,-6.931600646,-5177.361617,-5915.592491,0.51352007,-29.56035117,-12.60056987,-138.9317535,175.9799426,-137.7829323,176.5954091,154.4350957,180.837011,,8878.196,,
82,8.989429,111,-6.931600646,-4814.01697,-6248.155495,-4.24583257,-29.98807077,-12.78721115,-142.9085373,178.1827519,-141.7976008,183.5271979,152.7470063,176.9269555,,8989.429,,
83,9.100466,111,-6.931600646,-4437.210182,-6492.493297,-9.64564202,-30.2444646,-12.62405144,-146.7132516,179.1338412,-145.7733741,186.9695566,151.4323236,172.956936,,9100.466,,
84,9.211357,110,-25.95370868,-4059.126109,-6736.295978,-12.8634653,-30.38436996,-12.6862316,-149.3291514,179.4651254,-148.3062061,188.4677298,149.883341,168.6357802,,9211.357,,
85,9.322369,111,-28.15896039,-3666.675666,-6934.577587,-17.81540775,-30.82747941,-12.7950655,-152.9917812,179.4692124,-152.0590582,188.8099988,148.4829256,164.5978159,,9322.369,,
86,9.433479,111,-49.69537623,-3178.405399,-7168.346552,-16.77628197,-30.85849809,-12.73302814,-154.4337222,179.5369561,-152.9226822,188.8392454,146.9425444,159.8959194,,9433.479,,
87,9.544277,110,-56.61722574,-2594.64324,-7384.207931,-17.00109432,-31.00578894,-12.91132759,-158.2472233,179.492288,-156.352594,188.5113046,145.5502155,155.210061,,9544.277,,
88,9.655109,110,-77.17033544,-2069.185944,-7540.524759,-16.78373228,-31.19209926,-13.02000861,-162.0050942,179.370582,-159.9775933,188.0018488,144.2751235,151.2368224,,9655.109,,
89,9.766112,111,-78.70220127,-1561.511566,-7651.114855,-16.94712278,-31.33214826,-13.03556961,-165.9463655,179.3386068,-164.0213195,187.5267242,143.1542548,147.880235,,9766.112,,
