,,delta_ms,ACCx,ACCy,ACCz,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading,,time_ms,
54,5.877574,110,-122.759352,-382.5421399,-7813.123494,-5.20109093,-6.07487475,-0.81091766,-174.6423913,178.9558588,-173.6130391,180.8686423,141.4982035,142.5721285,,5877.574,
55,5.988549,110,-122.759352,-382.5421399,-7813.123494,14.31581207,-7.47171075,-2.87513086,-168.3683674,178.4835172,-165.8425687,180.1829651,141.5415504,142.6146962,,5988.549,
56,6.099371,110,-126.316012,-382.5421399,-7813.123494,32.48657132,-6.05661525,-3.46604986,-166.3972153,179.403708,-162.9385118,181.2065691,141.5415504,142.6198386,,6099.371,
57,6.210517,111,-126.316012,-382.5421399,-7813.123494,47.53833644,-6.85329141,-4.6030537,-166.8563521,178.8870756,-163.412134,180.5513352,141.5415504,142.6198386,,6210.517,
58,6.320941,110,-122.759352,-382.5421399,-7813.123494,60.23607254,-8.38996011,-5.11258069,-167.9816184,178.4000708,-165.3911034,179.8518293,141.5415504,142.6029344,,6320.941,
59,6.436629,115,-113.2655867,-969.3477568,-7811.822403,60.53768294,-8.70703771,-5.33685509,-170.8278922,178.7347851,-170.6058723,180.0971092,142.7542799,145.3397468,,6436.629,
60,6.547023,110,-108.0556112,-2218.808654,-7331.893442,53.90642264,-8.53640879,-5.29031993,-168.8814095,179.0555562,-171.8727681,180.4351096,146.2003865,153.5386858,,6547.023,
61,6.65797,110,-104.7722586,-3760.085192,-6452.336065,42.89355532,-7.89133611,-4.55198373,-161.8188695,179.3220839,-167.7687244,180.7647545,150.5861473,166.7994916,,6657.97,
62,6.769089,111,-97.95376433,-5196.051115,-5113.801639,26.2266004,-8.41896783,-4.5752616,-152.1200813,178.8593689,-160.4472009,180.2121313,155.8924446,182.3042601,,6769.089,
63,6.879899,110,-96.58960721,-5276.660615,-5113.801639,12.44925178,-7.54335456,-4.32730032,-146.8201881,179.2447481,-154.4101137,180.6092225,155.9062196,182.4795114,,6879.899,
64,6.990628,110,-96.46335516,-5276.660615,-5113.801639,5.890696,-7.88446148,-4.34280518,-141.8127136,178.9130601,-147.2127243,180.1531459,155.9062196,182.4802377,,6990.628,
65,7.101424,110,-77.95445083,-5276.660615,-5113.801639,-5.50070857,-8.21015174,-3.71468825,-141.7428634,178.9109412,-145.6652533,180.0020233,155.9062196,182.586796,,7101.424,
66,7.212242,110,-73.20680786,-5276.660615,-5113.801639,-10.41890017,-7.86882614,-2.65968185,-139.1256381,179.2088089,-141.3288307,180.2626059,155.9062196,182.6141515,,7212.242,
67,7.3231,110,-73.20680786,-5276.660615,-5582.265535,-10.93288441,-8.14918118,-2.79985937,-137.8230862,179.1205757,-138.0015373,180.0871851,155.9062196,180.9647374,,7323.1,
68,7.434412,111,-73.20680786,-4198.396369,-6335.759321,-10.92513268,-8.40498827,-2.97814916,-143.0078466,179.1487096,-140.9690839,180.0315568,151.7043691,170.6458473,,7434.412,
69,7.545138,110,-73.20680786,-3053.037821,-6926.255593,-10.87082696,-8.56014747,-3.13330836,-150.9089173,179.2340828,-147.4509417,180.0633204,148.0589765,159.9255121,,7545.138,
70,7.656041,110,-77.95445083,-1846.622693,-7380.153356,-10.89408026,-8.77717827,-3.17206386,-159.9441774,179.2437154,-155.8425974,180.0295562,144.9729031,150.8648201,,7656.041,
71,7.766766,110,-86.14449683,-1135.173616,-7581.292013,-10.91733104,-9.05618763,-3.33481932,-166.8774721,179.1952763,-163.0872861,179.941027,143.0689458,146.2798412,,7766.766,
72,7.877503,110,-87.57416138,-708.3041694,-7706.375208,-10.49079339,-9.33537591,-3.6140076,-171.4295441,179.1757918,-168.3538943,179.8802174,142.0621627,143.9487545,,7877.503,
73,7.988346,110,-88.21201886,-452.9825016,-7775.425125,1.72918046,-9.32756762,-4.63689359,-169.6833198,179.2834456,-166.2424714,179.9804053,141.5495759,142.7484868,,7988.346,
74,8.099953,111,-88.21201886,-452.9825016,-7775.425125,18.63848126,-9.17243642,-5.20312247,-167.1090993,179.3854363,-163.1234716,180.0848081,141.5495759,142.7484868,,8099.953,
75,8.21078,110,-88.21201886,-452.9825016,-7775.425125,36.85784326,-10.24233938,-4.10996075,-165.5553866,178.936219,-161.28273,179.5037531,141.5495759,142.7484868,,8210.78,
76,8.321587,110,-88.21201886,-452.9825016,-7775.425125,48.60671536,-10.3357079,-4.28113637,-167.5220975,179.1471458,-164.0442864,179.6981121,141.5495759,142.7484868,,8321.587,
77,8.432814,111,-88.21201886,-452.9825016,-7775.425125,57.90481648,-10.61488358,-4.07950949,-169.2890903,179.1571936,-166.9955638,179.6917423,141.5495759,142.7484868,,8432.814,
78,8.543596,110,-59.83227764,-1306.323439,-7692.746338,58.36123517,-10.87790452,-4.05630176,-169.7505118,179.2902955,-170.010195,179.788626,143.1963991,146.8737054,,8543.596,
79,8.65409,110,-27.93986318,-2805.394064,-7039.247803,52.83739601,-11.07933484,-4.17251156,-165.0723024,179.4990978,-168.482075,179.9707485,147.300863,157.7345271,,8654.09,
80,8.76486,110,-27.93986318,-4300.036438,-5973.948682,39.16972059,-10.12523491,-3.54420185,-158.0482329,180.020499,-164.4955614,180.6142578,152.3639194,172.9055936,,8764.86,
81,8.875699,110,-26.14701045,-5552.821863,-4719.569209,18.68117951,-10.34220887,-2.22685995,-149.6322483,179.7309569,-158.402294,180.3005916,157.3238078,186.3132846,,8875.699,
82,8.986437,110,-26.14701045,-5552.821863,-4719.569209,4.60721576,-10.55932787,-1.23431595,-143.7000236,179.615082,-151.3512918,180.1262746,157.3238078,186.3132846,,8986.437,
83,9.097252,110,-26.14701045,-5552.821863,-4719.569209,1.18799282,-10.72990135,-1.29634267,-137.0652373,179.5873503,-141.9023603,180.0497997,157.3238078,186.3132846,,9097.252,
84,9.208055,110,-27.93986318,-5552.821863,-4719.569209,-4.36470174,-10.86173907,-1.35838395,-135.2647115,179.5786932,-137.9165402,180.0096925,157.3238078,186.3019051,,9208.055,
85,9.318915,110,-39.68820627,-5552.821863,-4719.569209,-7.56340382,-11.00148819,-1.14099643,-133.6029042,179.4864949,-134.5295817,179.904632,157.3238078,186.2273712,,9318.915,
86,9.429829,110,-41.57835075,-5039.942308,-5596.411302,-13.19060078,-11.14875643,-1.05573587,-138.4889511,179.4802896,-137.7509263,179.8652293,154.3868559,179.8057582,,9429.829,
87,9.540567,110,-65.81292376,-3952.765385,-6378.646781,-13.57801578,-11.35021223,-1.07898077,-144.4789695,179.3568504,-141.8562836,179.727458,150.4044779,168.6714918,,9540.567,
88,9.651282,110,-83.37265255,-3044.459231,-6912.388069,-13.60125879,-11.65237136,-1.07898077,-151.5386558,179.2072588,-147.9134865,179.549228,147.309605,159.5290646,,9651.282,
89,9.761996,110,-84.28775426,-2247.875539,-7254.632841,-13.53919343,-11.87735829,-1.0712226,-158.2611609,179.1935135,-154.4136501,179.504735,145.0980653,152.9867942,,9761.996,
