,time_ms,delta_ms,accel__x,accel__y,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading
12,1220.415,110,-176.98237202112406,-174.42282092933198,20.368236839999998,-2.7401612700000015,5.287063110000001,-176.50164030783066,-174.60371633696968,-180.52676601387597,-174.72958005556893,136.66850238702597,135.9753047416011
13,1331.212,110,-176.2447561675788,-174.1903429005023,27.97982565,-3.3220870200000014,5.519833410000001,-173.30287429967956,-174.58846257508924,-176.53448484798682,-174.7658784852468,136.62508088284622,136.15707883696268
14,1442.11,110,-175.3546833788925,-174.1903429005023,38.95476375,-3.9348220800000013,7.179647370000001,-170.14398450720734,-174.59468479433707,-172.40181659111576,-174.78334545292557,136.7415811790314,136.665751013016
15,1552.9440000000002,110,-174.70405433318714,-174.1903429005023,55.509917189999996,-5.136155780000001,7.729935710000001,-166.25796502679523,-174.8326131380362,-167.29756941905404,-175.070126918676,136.82266861776856,137.04631360085233
16,1663.6789999999999,110,-173.61339828352087,-174.1903429005023,72.88570919,-3.4994182300000007,7.179185160000001,-163.72090818083063,-173.79255597551585,-163.9979048079309,-173.76898483995822,136.84469195992492,137.5916468798368
17,1774.577,110,-171.60684306812047,-174.18813004383156,79.81738289,-0.6538653800000005,12.854783760000002,-165.67979963320454,-172.89167927650527,-166.83669308273397,-172.52369166549008,137.40096609241675,139.23578370814437
18,1885.334,110,-166.19838486570075,-174.62260672312692,71.52891277,-0.6306049400000004,10.148819240000002,-169.30633882070225,-173.92093156847827,-173.30425823591526,-173.57624503049718,139.48675671199965,144.99281466121812
19,1996.159,110,-156.6464857686309,-175.28893202544282,54.65945541000001,0.9135634199999998,8.798641880000002,-168.45820993345944,-174.124064498657,-175.86290823563454,-173.70426694537494,143.0827451332746,156.7451982469165
20,2107.062,110,-144.3132170244615,-174.49102467508857,40.71258198,2.30127345,7.255880450000001,-159.5499635600607,-173.78915659251595,-168.98440725855409,-173.49185666977087,148.8174285895516,175.8294004733323
21,2217.8300000000004,110,-139.23023777596293,-174.0607416478621,28.7829927,-1.8019467900000006,6.712921250000001,-152.12996380160203,-175.59339572172365,-161.3040568851277,-175.94600184257112,150.19196039903676,183.1837894565823
22,2328.706,110,-139.23023777596293,-174.0607416478621,19.9102274,-5.568028830000001,6.9608937300000004,-147.93923430621857,-176.18023609340673,-155.31811222581797,-176.95312787406678,149.98957870227662,183.81324835048105
23,2439.381,110,-139.23023777596293,-174.0607416478621,17.4443759,-6.568327080000001,7.030681980000001,-143.70017698806518,-175.30865872607995,-148.666043339712,-175.99203116968076,149.98957870227662,183.81324835048105
24,2550.292,110,-139.23023777596293,-174.18570158626267,15.684383610000001,-6.428768220000001,6.42592692,-141.72221037680384,-174.5790608981896,-144.72047032611556,-174.94920769467674,149.98957870227662,183.74636780648223
25,2661.006,110,-139.23023777596293,-174.18570158626267,12.830149850000002,-6.560621410000001,5.36334533,-141.3687203202993,-174.39578658703346,-143.1396527846326,-174.54179175129858,149.98957870227662,183.70103672708922
26,2771.882,110,-149.79861248874218,-174.8673376795444,11.852735090000001,-6.638194010000001,5.471946969999999,-146.81762152536504,-174.70974628254,-146.58156151764996,-174.6414506774491,144.82565821060658,166.73478946124882
27,2882.731,110,-158.6509852016707,-175.30973933912134,11.23950233,-6.684768650000001,5.23131133,-154.1629328351484,-175.0883719724888,-152.63647153394524,-174.90324568843155,142.2328805881267,154.488263031693
28,2993.646,110,-164.00898114013896,-176.6187689019692,10.797366440000001,-6.421038470000001,4.68833743,-160.24741617414276,-175.90111805817702,-158.42589868482662,-175.54468796786756,140.8504028653123,148.55872945644433
29,3104.496,110,-167.57027367234463,-177.56479630009215,8.9986078,-6.064388050000001,3.6571525199999995,-165.36063412906387,-176.7566648353261,-163.93665171923098,-176.32194553993077,140.08107326573622,145.40512063415085
30,3215.267,110,-170.21457134749457,-178.1071288808442,7.875185500000001,-6.52925245,3.6803957399999994,-168.72236538012228,-177.75288902263696,-167.77861204070757,-177.42757272902048,139.47412077006348,143.28836558461603
31,3325.978,110,-172.1967658617556,-178.21216094759296,9.41754296,-5.63794035,3.1766106399999994,-170.19006268510228,-177.67192733761055,-169.42624886956017,-177.37384843321686,139.00713975446405,141.75026060485763
32,3436.751,110,-173.69896825270234,-178.6327077634008,19.274974110000002,-6.6849531,3.3162123399999994,-168.35243356566232,-178.66720069308468,-166.92067831312036,-178.55048618656633,138.77827548201125,140.8836348864702
33,3547.6169999999997,110,-173.69896825270234,-178.6327077634008,39.92222619,-6.793459680000001,0.11526822999999897,-163.30145354588632,-178.68990756727436,-160.45978646311352,-178.67190284039364,139.03624963421717,141.1357497246961
34,3658.35,110,-173.69896825270234,-178.6327077634008,56.13560883000001,-8.288530320000001,0.014563989999998958,-163.05460931397593,-179.25361594095023,-159.81660094611024,-179.42525186254616,139.03624963421717,141.1357497246961
35,3769.0299999999997,110,-173.69896825270234,-178.6327077634008,65.41480169000002,-6.398611240000001,0.49478932999999903,-165.7295475332118,-178.12510340242056,-163.3547341661421,-178.08624457877497,139.03624963421717,141.10957997699273
36,3879.705,110,-173.69896825270234,-178.6327077634008,74.42163071000002,-6.530494180000001,0.33187510999999903,-166.90846835690613,-178.48241919500867,-165.55864567112084,-178.44338548852522,139.03624963421717,141.09519344687268
37,3990.675,110,-167.03034641473184,-178.08702170130874,69.69358004000001,-5.692022140000001,-1.640086910000001,-168.87281545960155,-177.9097918827887,-170.4271202277667,-177.86936237590305,141.37785668776485,146.85061785670496
38,4101.529,110,-155.13899341892093,-177.73459723888288,53.35780268000001,-8.427567400000001,-1.554843290000001,-167.1668331791932,-178.89889320044523,-172.62590568225684,-179.1996991535081,146.2290362697352,160.71992589891826
39,4212.245,110,-142.5147621557105,-175.04791820201496,35.76061853000001,-7.017313100000001,-0.028359240000001007,-159.4144642251036,-176.02420648138707,-167.5543988977526,-176.40732427980328,151.65311083494484,179.00158406358648
